zip_code,"less_than_$10,000","10,000_to_14,999","15,000_to_24,999","25,000_to_34,999","35,000_to_$49,999","50,000_to_74,999","75,000_to_99,999","100,000_to_149,999","150,000_to_199,999","more_than_or_200,000"
10001,8.8,3.9,7.5,4.2,7.7,11.2,11.0,15.6,7.6,22.5
10002,14.8,12.5,13.6,8.3,10.1,12.0,8.1,9.4,4.3,6.8
10003,4.7,2.4,4.7,5.6,7.2,12.7,9.2,13.2,11.1,29.2
10004,2.9,0.0,0.7,1.1,4.2,5.1,6.6,25.4,15.1,38.9
10005,7.0,1.6,1.7,0.8,2.4,7.0,6.4,18.6,13.1,41.4
10006,4.1,1.4,1.9,0.0,0.8,6.4,10.4,17.4,16.6,41.0
10007,1.6,1.7,0.0,2.4,2.7,5.2,7.6,11.2,10.0,57.6
10009,12.5,8.2,8.7,6.2,8.3,11.2,8.7,16.4,6.3,13.5
10010,3.7,3.8,6.2,5.2,6.0,9.0,10.2,16.7,8.2,31.0
10011,6.1,3.9,5.4,4.7,4.5,9.1,7.5,15.0,11.1,32.6
10012,7.4,2.7,4.8,3.1,7.4,12.9,6.8,18.8,10.6,25.5
10013,4.3,5.8,9.2,6.8,5.3,8.9,7.6,11.2,6.9,33.9
10014,4.0,2.3,5.0,5.2,5.6,8.5,10.4,14.8,12.4,31.9
10016,5.7,4.3,4.4,4.6,5.2,10.7,8.8,16.8,11.4,28.1
10017,3.9,1.4,5.6,3.9,4.7,13.2,9.7,16.4,16.3,25.0
10018,7.3,4.2,4.9,4.5,6.7,8.9,8.2,18.1,9.1,28.1
10019,6.8,4.4,8.5,4.9,5.8,10.5,9.8,14.0,10.9,24.5
10020,,,,,,,,,,
10021,5.3,1.2,4.0,3.8,5.6,12.6,11.5,13.2,9.8,33.0
10022,3.6,1.2,5.0,2.8,5.7,11.5,7.7,15.0,11.2,36.3
10023,5.1,3.2,5.2,4.5,3.9,8.6,8.4,17.0,11.1,33.0
10024,5.3,2.8,4.5,3.7,5.4,9.1,8.5,14.6,9.9,36.2
10025,9.3,4.9,7.2,6.6,6.9,11.7,8.8,13.8,8.9,22.0
10026,12.9,10.0,6.6,6.6,9.5,11.5,10.3,13.6,6.5,12.6
10027,17.1,8.9,7.9,7.0,10.2,13.3,8.5,12.3,5.8,9.0
10028,3.7,2.1,3.1,3.2,5.2,9.9,11.2,20.6,10.7,30.3
10029,16.1,11.5,13.8,9.5,11.4,13.6,9.0,6.7,3.2,5.3
10030,12.8,11.9,15.0,8.2,9.6,13.6,8.4,10.9,3.0,6.6
10031,10.5,7.6,9.2,10.9,11.9,15.2,11.6,12.4,5.3,5.4
10032,9.6,7.9,9.7,10.4,12.3,18.2,10.7,13.1,5.3,2.9
10033,7.2,8.0,10.6,7.6,10.2,16.5,11.4,16.4,6.9,5.1
10034,9.2,7.3,10.5,10.0,7.6,17.3,15.6,13.1,4.3,5.1
10035,18.4,13.3,13.6,8.8,9.2,14.6,7.7,8.2,3.5,2.7
10036,8.2,6.3,5.6,8.0,9.1,7.3,8.1,15.5,10.1,21.9
10037,10.8,12.3,11.6,9.4,10.0,16.0,11.2,10.6,5.1,3.1
10038,8.8,6.2,10.9,5.4,6.8,8.7,6.8,13.2,10.2,23.0
10039,11.1,10.6,13.2,11.1,13.4,16.5,11.3,7.7,2.1,3.1
10040,9.9,7.6,11.1,8.6,15.3,16.9,11.7,11.7,3.9,3.3
10044,6.0,3.5,4.3,4.2,5.0,15.3,11.4,23.9,9.7,16.7
10065,5.0,2.7,4.0,2.7,6.2,10.6,8.8,14.4,9.8,35.8
10075,1.9,0.8,4.8,6.4,5.0,12.8,10.6,17.9,9.6,30.3
10280,3.4,1.1,0.5,1.8,3.3,8.0,6.8,18.6,16.1,40.5
