zipcode,price_$,price_$$,price_$$$,price_$$$$,median_income
10001,17,59,9,1,88526.0
10002,45,103,14,1,35859.0
10003,32,135,27,7,112131.0
10004,19,39,5,2,157645.0
10005,15,21,2,1,173333.0
10006,7,20,2,0,176250.0
10007,23,42,4,3,246813.0
10009,20,71,12,5,61548.0
10010,4,32,13,1,117923.0
10011,12,61,13,7,128613.0
10012,21,81,27,4,109037.0
10013,46,104,24,10,105442.0
10014,17,85,35,3,126601.0
10016,11,99,15,8,117004.0
10017,17,38,19,6,127506.0
10018,11,57,8,3,108914.0
10019,30,123,27,19,98833.0
10020,12,12,6,1,
10021,14,43,16,4,118289.0
10022,14,74,33,9,135363.0
10023,18,78,18,5,130452.0
10024,6,73,6,1,131668.0
10025,40,88,2,0,85930.0
10026,11,51,2,0,58884.0
10027,40,69,3,1,46113.0
10028,12,74,15,1,125140.0
10029,77,66,2,1,34016.0
10030,23,18,1,0,37232.0
10031,65,43,0,0,49891.0
10032,37,18,0,0,50391.0
10033,54,39,1,0,58614.0
10034,34,45,1,0,54716.0
10035,23,18,0,0,30081.0
10036,35,112,23,7,91936.0
10037,17,5,0,0,45041.0
10038,45,69,8,1,86058.0
10039,17,8,0,0,39653.0
10040,36,21,0,0,47137.0
10065,9,48,13,3,127375.0
10075,7,34,5,2,137146.0
10280,2,5,0,0,169844.0
